category,group,spearman,kendall,num_images
handbag,group_a40babc9,0.9999999999999999,1.0,2
remote,group_249445,-0.9999999999999999,-1.0,2
cell phone,group_3c684dee,0.9999999999999999,1.0,2
remote,group_441752,-0.9999999999999999,-1.0,2
backpack,group_559701,0.9999999999999999,1.0,2
remote,group_365325,0.9999999999999999,1.0,2
suitcase,group_000000251404,0.9999999999999999,1.0,2
backpack,group_149881,0.9999999999999999,1.0,2
remote,group_571702,0.9999999999999999,1.0,2
refrigerator,group_d06c982b,0.9999999999999999,1.0,2
chair,group_560161,-0.9999999999999999,-1.0,2
refrigerator,group_3e1ed869,-0.9999999999999999,-1.0,2
laptop,group_27e8ebec,0.9999999999999999,1.0,2
